f_frame_counter_left_camera,CAN_S_Gaze_ROI,MS_S_Gaze_ROI_X_Raw,MS_S_Gaze_ROI_Y_Raw,MS_S_Head_rot_X,MS_S_Head_rot_Y,MS_S_Head_rot_Z,HSVL_MS_S_Head_Pos_Veh_X,HSVL_MS_S_Head_Pos_Veh_Y,HSVL_MS_S_Head_Pos_Veh_Z,MS_S_Gaze_LE_Center_X,MS_S_Gaze_LE_Center_Y,MS_S_Gaze_LE_Center_Z,MS_S_Gaze_LE_VA_rot_X,MS_S_Gaze_LE_VA_rot_Y,MS_S_Gaze_LE_VA_rot_Z,MS_S_Gaze_RE_Center_X,MS_S_Gaze_RE_Center_Y,MS_S_Gaze_RE_Center_Z,MS_S_Gaze_RE_VA_rot_X,MS_S_Gaze_RE_VA_rot_Y,MS_S_Gaze_RE_VA_rot_Z,MS_S_Gaze_rot_X,MS_S_Gaze_rot_Y,MS_S_Gaze_rot_Z,headDir_X_L,headDir_Y_L,headDir_Z_L,headDir_X_R,headDir_Y_R,headDir_Z_R,headDir_X_mid,headDir_Y_mid,headDir_Z_mid,Rot_headDir_X_mid,Rot_headDir_Y_mid,Rot_headDir_Z_mid,roi_idx_h,roi_name_h,roi_X,roi_Y,intersect_x_h,intersect_y_h,intersect_z_h
45264.0000,7.0000,50.0000,50.0000,-0.8000,-8.0000,7.6000,1497.0000,-432.0000,860.0000,1503.0000,-463.0000,863.0000,0.0000,-8.4000,-1.9000,1493.0000,-402.0000,864.0000,0.0000,-8.4000,-1.9000,0.0000,-8.4041,-1.9351,0.9952,0.0980,0.0057,0.9952,0.0980,0.0057,0.9952,0.0974,0.0058,0.0000,-0.3313,5.5906,3, /Windshield  Driver ,35,34,1028.2504,-477.8838,857.2769
45265.0000,7.0000,50.0000,50.0000,-0.5000,-8.3000,6.4000,1498.0000,-431.0000,860.0000,1502.0000,-462.0000,863.0000,0.0000,-8.5000,-2.3000,1494.0000,-401.0000,864.0000,0.0000,-8.5000,-2.3000,0.0000,-8.5086,-2.3134,0.9975,0.0703,0.0026,0.9975,0.0703,0.0026,0.9975,0.0701,0.0027,0.0000,-0.1563,4.0193,3, /Windshield  Driver ,37,33,1030.6557,-463.8385,858.7222
45266.0000,7.0000,50.0000,50.0000,-0.3000,-8.6000,5.4000,1499.0000,-430.0000,860.0000,1502.0000,-461.0000,863.0000,0.0000,-8.5000,-2.5000,1494.0000,-400.0000,864.0000,0.0000,-8.5000,-2.5000,0.0000,-8.5427,-2.5458,0.9988,0.0495,-0.0024,0.9988,0.0495,-0.0024,0.9988,0.0487,-0.0017,0.0000,0.0947,2.7933,3, /Windshield  Driver ,38,33,1034.0623,-452.6847,860.7691
45267.0000,7.0000,50.0000,50.0000,-0.2000,-8.8000,4.6000,1499.0000,-429.0000,860.0000,1502.0000,-460.0000,863.0000,0.0000,-8.6000,-2.6000,1495.0000,-399.0000,864.0000,0.0000,-8.6000,-2.6000,0.0000,-8.5559,-2.6452,0.9994,0.0340,-0.0040,0.9994,0.0340,-0.0040,0.9994,0.0332,-0.0047,0.0000,0.2712,1.9006,3, /Windshield  Driver ,39,32,1036.4283,-444.3499,862.1907
45268.0000,7.0000,50.0000,50.0000,0.0000,-9.0000,4.0000,1500.0000,-429.0000,860.0000,1501.0000,-459.0000,863.0000,0.0000,-8.6000,-2.7000,1495.0000,-398.0000,864.0000,0.0000,-8.6000,-2.7000,0.0000,-8.5598,-2.6867,0.9997,0.0218,-0.0073,0.9997,0.0218,-0.0073,0.9997,0.0221,-0.0080,0.0000,0.4608,1.2642,3, /Windshield  Driver ,40,32,1038.9545,-439.1740,863.7086
45269.0000,7.0000,50.0000,50.0000,0.1000,-9.2000,3.5000,1500.0000,-428.0000,860.0000,1501.0000,-459.0000,862.0000,0.0000,-8.5000,-2.7000,1496.0000,-398.0000,864.0000,0.0000,-8.5000,-2.7000,0.0000,-8.5446,-2.7261,0.9998,0.0132,-0.0125,0.9998,0.0132,-0.0125,0.9999,0.0127,-0.0117,0.0000,0.6711,0.7290,3, /Windshield  Driver ,40,31,1041.7166,-433.8316,865.3683
45270.0000,7.0000,50.0000,50.0000,0.3000,-9.2000,3.1000,1500.0000,-428.0000,860.0000,1501.0000,-458.0000,862.0000,0.0000,-8.6000,-2.8000,1496.0000,-397.0000,863.0000,0.0000,-8.6000,-2.8000,0.0000,-8.5513,-2.7672,0.9999,0.0045,-0.0107,0.9999,0.0045,-0.0107,0.9999,0.0051,-0.0115,0.0000,0.6610,0.2931,3, /Windshield  Driver ,41,31,1041.5842,-430.3448,865.2887
45271.0000,7.0000,50.0000,50.0000,0.5000,-9.2000,2.8000,1500.0000,-427.0000,860.0000,1501.0000,-458.0000,862.0000,0.0000,-8.6000,-2.8000,1496.0000,-397.0000,863.0000,0.0000,-8.6000,-2.8000,0.0000,-8.6008,-2.8049,0.9999,-0.0006,-0.0106,0.9999,-0.0006,-0.0106,0.9999,-0.0007,-0.0106,-0.0000,0.6093,-0.0408,3, /Windshield  Driver ,41,31,1040.9075,-426.6732,864.8821
45272.0000,7.0000,50.0000,50.0000,0.6000,-9.2000,2.5000,1500.0000,-427.0000,859.0000,1501.0000,-457.0000,861.0000,0.0000,-8.7000,-2.8000,1496.0000,-396.0000,863.0000,0.0000,-8.7000,-2.8000,0.0000,-8.6919,-2.8254,0.9999,-0.0058,-0.0089,0.9999,-0.0058,-0.0089,0.9999,-0.0062,-0.0090,-0.0000,0.5162,-0.3574,3, /Windshield  Driver ,41,32,1038.0448,-424.1181,863.1620
45273.0000,3.0000,10.0000,78.0000,0.8000,-9.2000,2.2000,1500.0000,-427.0000,859.0000,1501.0000,-457.0000,861.0000,0.0000,-8.8000,-2.8000,1497.0000,-396.0000,863.0000,0.0000,-8.8000,-2.8000,0.0000,-8.7866,-2.8441,0.9999,-0.0110,-0.0071,0.9999,-0.0110,-0.0071,0.9999,-0.0117,-0.0073,-0.0000,0.4198,-0.6724,3, /Windshield  Driver ,42,32,1036.7673,-421.5634,862.3944
45274.0000,3.0000,10.0000,78.0000,0.9000,-9.2000,2.0000,1500.0000,-426.0000,859.0000,1501.0000,-457.0000,861.0000,0.0000,-8.8000,-2.9000,1497.0000,-395.0000,863.0000,0.0000,-8.8000,-2.9000,0.0000,-8.8495,-2.8641,0.9998,-0.0162,-0.0071,0.9998,-0.0162,-0.0071,0.9999,-0.0155,-0.0062,-0.0000,0.3558,-0.8898,3, /Windshield  Driver ,42,32,1035.9145,-418.7919,861.8820
45275.0000,3.0000,10.0000,78.0000,1.0000,-9.2000,2.0000,1500.0000,-426.0000,858.0000,1500.0000,-456.0000,861.0000,0.0000,-8.9000,-2.9000,1497.0000,-395.0000,863.0000,0.0000,-8.9000,-2.9000,0.0000,-8.8645,-2.8776,0.9999,-0.0162,-0.0053,0.9999,-0.0162,-0.0053,0.9999,-0.0158,-0.0059,-0.0000,0.3408,-0.9033,3, /Windshield  Driver ,42,33,1034.0671,-418.6537,860.7720
45276.0000,3.0000,10.0000,78.0000,1.1000,-9.1000,2.0000,1500.0000,-426.0000,858.0000,1501.0000,-456.0000,861.0000,0.0000,-8.9000,-2.9000,1497.0000,-395.0000,863.0000,0.0000,-8.9000,-2.9000,0.0000,-8.9043,-2.8738,0.9999,-0.0161,-0.0036,0.9999,-0.0161,-0.0036,0.9999,-0.0157,-0.0035,-0.0000,0.2011,-0.8990,3, /Windshield  Driver ,42,33,1032.1866,-418.6596,859.6420
